j,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc
Sweet Potatoes (flour),3430,64,110,400,1140,807,24,21.22,2.33,2.5,4960,0,7.96,71,11
Sweet Potatoes (fresh),1230,23,40,160,430,289,9,8,0.88,1.12,2250,0,3,34,4
"Sweet Potatoes (orange, dry)",3430,64,110,400,1140,807,24,21.22,2.33,2.5,13900,0,7.96,71,11
"Sweet Potatoes (orange, flour)",3430,64,110,400,1140,807,24,21.22,2.33,2.5,13900,0,7.96,71,11
"Sweet Potatoes (orange, fresh)",1230,23,40,160,430,289,9,8,0.88,1.12,6300,0,3,34,4
"Sweet Potatoes (white, dry)",3430,65,120,400,1200,804,23,21.22,2.31,2.67,0,0,7.95,77,12
"Sweet Potatoes (white, flour)",3430,65,120,400,1200,804,23,21.22,2.31,2.67,0,0,7.95,77,12
"Sweet Potatoes (white, fresh)",1170,22,40,150,410,274,8,7.61,0.83,1.07,0,0,2.85,33,4
Tilapia (dried),4130,865,0,930,430,0,26,159.51,2.57,1.59,0,61.2,6.27,0,13
Tilapia (fresh),960,201,0,240,100,0,6,39.03,0.63,0.41,0,15.8,1.62,0,3
Tomatoes,180,9,10,150,100,39,3,5.94,0.19,0.37,420,0,0.8,127,2
Waragi,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watermelon,300,6.1,4.00000006,30,70,75.5,2.4,1.78,0.21,0.33,280,0,0.45,81,1
Wheat (flour),3640,103,30,260,150,763,12,12.5,0.4,1.2,0,0,0.44,0,7
Yams (arrowroot),1180,15,40,230,170,279,5,5.52,0.32,1.12,70,0,2.93,171,2
